id,filename,sha256,engine,company_name,fiscal_year,currency,unit,revenue,net_profit,total_assets,total_debt,revenue_abs,net_profit_abs,total_assets_abs,total_debt_abs,net_margin,employees,avg_confidence,anomaly_score,review_prob,status,extracted_at
1,brightpath_2023.pdf,a33125d46a572396f7c1ed6142f467e795a3de5f2f5fc5230e4af15aea1fadc7,rules,BrightPath Software Inc,,USD,million,845.3,,,,845300000.0,,,,,,0.925,0.0,0.0,review,2026-09-21T22:04:28.845564
2,harbor_2024.pdf,bb775ee79551c686c05fc8fc39a0e55b364e53a7fac98c9127958788fcabf2ca,rules,Harbor Retail PLC,,,thousand,567890.0,,,,567890000.0,,,,,,0.925,0.0,0.0,review,2026-09-21T22:04:28.860358
3,kaveri_2024.pdf,6e3e8adca0361dd87c9f757a55e199b6006305e7ba7d59c515b71cd9a3aefeb0,rules,Kaveri Foods Ltd,,INR,crore,412.8,,,,4128000000.0,,,,,,0.925,0.0,0.0,review,2026-09-21T22:04:28.878670
4,northwind_2022.pdf,9a3349144b4201068e889e2cd923151a4958e959b1a641e0f6ff946e3f51da34,rules,,,EUR,million,2310.0,,,,2310000000.0,,,,,,0.425,0.0,0.0,review,2026-09-21T22:04:28.893535
5,solaris_2025.pdf,b85b31f581a2b474805386cd34be6c3f2cec6aae5553f9a98b3458c0439394e6,rules,Solaris Energy Ltd,,INR,lakh,88450.0,,,,8845000000.0,,,,,,0.925,0.0,0.0,review,2026-09-21T22:04:28.909272
6,zenith_2024.pdf,7aa0bd6afde197fa6947a2063b179d26144ca71c0ce3c936e2788458b034e289,rules,Zenith Textiles Ltd,,INR,crore,1234.5,,,,12345000000.0,,,,,,0.925,0.0,0.0,review,2026-09-21T22:04:28.928141
7,brightpath_2023.pdf,daca7200f057abf48ca9fc5eb2edbb3656711357f061f41e3c49551cda530ed1,rules,BrightPath Software Inc,2023.0,USD,million,845.3,121.9,1560.2,230.0,845300000.0,121900000.0,1560200000.0,230000000.0,0.14420915651248079,3100.0,0.8666666666666667,0.0,0.0,ok,2026-09-21T22:09:02.874554
8,harbor_2024.pdf,076d1cb43fe0a763b4ac9d25c0dfd94fc4c36414c552cc3fab88d091a25cb328,rules,Harbor Retail PLC,2024.0,,thousand,567890.0,23410.0,410220.0,88900.0,567890000.0,23410000.0,410220000.0,88900000.0,0.04122277201570727,7250.0,0.8666666666666667,0.0,0.0,review,2026-09-21T22:09:02.891291
9,kaveri_2024.pdf,e07f113639e216c43fcacf2ce54d6b266a326e05d11aa6f2dc40d796202f91be,rules,Kaveri Foods Ltd,2024.0,INR,crore,412.8,27.45,530.1,96.4,4128000000.0,274500000.0,5301000000.0,964000000.0,0.06649709302325581,1180.0,0.8666666666666667,0.0,0.0,ok,2026-09-21T22:09:02.904848
10,northwind_2022.pdf,eecdfeb87e22b99d1e8e0e57d236ea28e20d109a8fb0bdd1fbf0386a9b808ae1,rules,,2022.0,EUR,million,2310.0,-45.6,3800.5,1205.0,2310000000.0,-45600000.0,3800500000.0,1205000000.0,-0.019740259740259742,12400.0,0.7000000000000001,0.0,0.0,review,2026-09-21T22:09:02.923836
11,solaris_2025.pdf,922b0d02c45335f1272720cb16f061527aba2bba890308db87d1f1c0cc53eaae,rules,Solaris Energy Ltd,2025.0,INR,lakh,88450.0,6120.0,120300.0,35200.0,8845000000.0,612000000.0,12030000000.0,3520000000.0,0.06919163369135105,640.0,0.8666666666666667,0.0,0.0,ok,2026-09-21T22:09:02.939453
12,zenith_2024.pdf,12cac2da22532ebb6435295d46aad8b3087b4bf9226f679f12e39f8ec3eee836,rules,Zenith Textiles Ltd,2024.0,INR,crore,1234.5,98.2,2050.0,410.75,12345000000.0,982000000.0,20500000000.0,4107500000.0,0.07954637505062778,4520.0,0.8666666666666667,0.0,0.0,ok,2026-09-21T22:09:02.958634
